epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.39574,1.33875,3.44081,1.55389,0.00333,1,0.78755,0.35795,1.19157,3.8487,1.39824,0.00022,0.00022,0.00022
2,10.2611,1.26203,2.8758,1.41426,0.00333,1,0.53566,0.21643,1.25508,4.4382,1.62955,0.00045241,0.00045241,0.00045241
3,14.4479,1.21268,2.49484,1.36679,0.00333,1,0.38349,0.11105,1.20832,4.20107,1.62336,0.0006769,0.0006769,0.0006769
4,17.8526,1.29544,2.5104,1.44549,0.46138,0.5,0.45409,0.15175,1.95158,4.2215,2.52903,0.00089347,0.00089347,0.00089347
5,21.1722,1.24292,2.37024,1.3518,0.60966,0.41176,0.53603,0.19813,2.11168,3.72196,2.29056,0.00110212,0.00110212,0.00110212
6,25.5331,1.13395,2.12609,1.28154,0.45876,0.5,0.50847,0.17107,1.58378,3.69532,1.99045,0.00130285,0.00130285,0.00130285
7,28.8246,1.16481,2.02161,1.36591,0.59728,0.55882,0.55692,0.17752,2.05979,3.36952,2.67046,0.00149566,0.00149566,0.00149566
8,32.0931,1.26049,2.05527,1.45221,0.64503,0.58792,0.62954,0.27102,2.14,3.60696,3.07444,0.00168055,0.00168055,0.00168055
9,35.6885,1.25084,2.94947,1.38563,0.71737,0.79412,0.7678,0.46062,2.02934,3.33537,2.00283,0.001736,0.001736,0.001736
10,39.775,1.3708,2.32565,1.49888,0.54018,0.5,0.58446,0.31093,1.68304,6.84381,2.08487,0.001703,0.001703,0.001703
11,43.4038,1.20506,1.83758,1.4104,0.68909,0.71727,0.75638,0.42339,1.93234,5.91517,2.41665,0.00167,0.00167,0.00167
12,46.4642,1.16279,1.88029,1.33662,0.74035,0.67105,0.74996,0.45953,1.46639,5.24635,1.72486,0.001637,0.001637,0.001637
13,50.4033,1.11974,1.78849,1.36058,0.55554,0.76471,0.61605,0.29441,1.32711,6.10414,1.92113,0.001604,0.001604,0.001604
14,55.3066,1.29714,1.78397,1.5135,0.70335,0.85294,0.82855,0.55059,1.48528,3.14746,1.72762,0.001571,0.001571,0.001571
15,58.5826,1.192,1.72338,1.38605,0.46649,0.73529,0.57613,0.35858,1.14932,7.34728,1.39048,0.001538,0.001538,0.001538
16,61.7329,1.14932,1.57519,1.34292,0.77095,0.79412,0.82335,0.56186,1.76286,3.26736,1.81959,0.001505,0.001505,0.001505
17,67.3604,1.00709,1.39658,1.25578,0.93489,0.79412,0.93501,0.70676,1.20716,1.86304,1.44524,0.001472,0.001472,0.001472
18,70.86,1.03531,1.5046,1.30575,0.77126,0.76471,0.8011,0.47653,1.41493,2.64278,1.62744,0.001439,0.001439,0.001439
19,73.8566,1.0712,1.51181,1.27598,0.64415,0.73529,0.64122,0.44275,1.30657,5.52777,1.89065,0.001406,0.001406,0.001406
20,78.1013,1.03071,1.41324,1.2796,0.59602,0.65099,0.65354,0.46897,1.16121,3.18557,1.37022,0.001373,0.001373,0.001373
21,81.961,1.07766,1.43267,1.31062,0.67133,0.76471,0.70164,0.38578,1.20387,2.92073,1.42166,0.00134,0.00134,0.00134
22,85.1597,1.03433,1.41888,1.29762,0.78488,0.96591,0.94054,0.75871,0.96395,1.48169,1.25426,0.001307,0.001307,0.001307
23,88.5876,0.97123,1.34415,1.24992,0.84798,0.82042,0.88733,0.6432,1.00053,1.92149,1.34607,0.001274,0.001274,0.001274
24,92.9651,1.02909,1.28194,1.27521,0.95502,0.88235,0.94707,0.72535,0.79157,1.59755,1.17537,0.001241,0.001241,0.001241
25,96.2744,1.02873,1.19918,1.30295,0.87501,0.94118,0.9675,0.67368,1.02064,1.50106,1.37754,0.001208,0.001208,0.001208
26,99.6893,1.01813,1.19842,1.26894,0.78246,0.82353,0.85551,0.60734,1.07861,1.94487,1.3769,0.001175,0.001175,0.001175
27,102.966,0.94365,1.1535,1.20968,0.77225,0.82353,0.8214,0.59902,1.55388,1.49919,1.83198,0.001142,0.001142,0.001142
28,107.258,0.92526,1.06204,1.17816,0.87714,0.82353,0.89781,0.66113,1.18547,1.73631,1.47697,0.001109,0.001109,0.001109
29,110.663,0.92816,1.09081,1.27769,0.95359,0.94118,0.9865,0.85253,0.81633,0.99782,1.17186,0.001076,0.001076,0.001076
30,113.971,0.88702,1.03911,1.20418,0.94117,0.94107,0.96523,0.75197,0.82046,1.57136,1.16063,0.001043,0.001043,0.001043
31,117.74,0.94114,1.19109,1.19721,0.95218,0.91176,0.96329,0.80897,0.75486,1.27582,1.11717,0.00101,0.00101,0.00101
32,121.887,0.95056,1.26543,1.26228,0.99228,0.94118,0.98552,0.8236,0.82734,1.24989,1.16197,0.000977,0.000977,0.000977
33,125.28,0.93941,1.18312,1.29411,1,0.96139,0.99289,0.8238,1.04349,1.0529,1.44471,0.000944,0.000944,0.000944
34,128.552,0.85112,1.09244,1.1774,0.91656,0.91176,0.97961,0.79716,0.97659,1.2666,1.3901,0.000911,0.000911,0.000911
35,132.779,0.8827,1.05321,1.20384,0.97377,0.85294,0.96262,0.79299,0.97155,1.66115,1.3461,0.000878,0.000878,0.000878
36,136.65,0.81206,0.96623,1.11915,0.97037,0.96342,0.98957,0.82215,0.85408,1.20462,1.19628,0.000845,0.000845,0.000845
37,139.818,0.77873,0.91497,1.07878,0.94231,0.96102,0.9795,0.77898,0.82304,1.2243,1.18503,0.000812,0.000812,0.000812
38,143.025,0.82337,0.97112,1.14915,0.91847,0.99414,0.97799,0.81009,0.77879,0.86815,1.16276,0.000779,0.000779,0.000779
39,147.34,0.76884,0.85434,1.12158,0.96589,0.94118,0.98981,0.79005,0.8807,0.96095,1.22788,0.000746,0.000746,0.000746
40,150.741,0.71762,0.89652,1.09919,0.89096,0.96149,0.97528,0.71547,1.13532,1.30045,1.6628,0.000713,0.000713,0.000713
41,154.042,0.82221,0.9403,1.14005,0.93747,1,0.99212,0.77662,1.01429,0.89328,1.48826,0.00068,0.00068,0.00068
42,158.227,0.69283,0.91014,1.10486,0.94244,0.96329,0.99076,0.84038,0.92163,0.86879,1.2801,0.000647,0.000647,0.000647
43,162.134,0.78156,0.84366,1.11449,0.86701,0.95893,0.94708,0.81171,1.16175,1.64027,1.48442,0.000614,0.000614,0.000614
44,165.543,0.72267,0.77594,1.06217,0.89449,0.99743,0.9859,0.82919,1.26869,1.38032,1.60608,0.000581,0.000581,0.000581
45,168.71,0.7247,0.82263,1.10291,0.91297,0.92582,0.97964,0.82222,0.94547,1.12949,1.25713,0.000548,0.000548,0.000548
46,172.861,0.75227,0.79324,1.08659,1,0.91115,0.98901,0.83186,0.74067,0.98772,1.1342,0.000515,0.000515,0.000515
47,176.622,0.77655,0.83415,1.13623,0.96961,0.94118,0.98283,0.81408,0.69466,0.99192,1.1408,0.000482,0.000482,0.000482
48,179.812,0.72783,0.78107,1.09761,0.96233,0.97059,0.99073,0.81438,0.71258,0.80399,1.15559,0.000449,0.000449,0.000449
49,183.187,0.72798,0.85853,1.08926,1,0.99776,0.995,0.83936,0.64153,0.68498,1.12704,0.000416,0.000416,0.000416
50,187.545,0.68342,0.74301,1.08011,1,0.99814,0.995,0.85148,0.65478,0.73577,1.11609,0.000383,0.000383,0.000383
51,192.936,0.66571,0.80207,1.04965,0.99655,0.97059,0.99389,0.86214,0.67578,1.0215,1.11131,0.00035,0.00035,0.00035
52,196.647,0.59988,0.70714,1.01592,0.92864,0.97059,0.98901,0.8421,0.70569,1.37945,1.11973,0.000317,0.000317,0.000317
53,200.622,0.58858,0.76337,0.99659,0.91802,0.98826,0.99076,0.85547,0.66331,1.0475,1.0841,0.000284,0.000284,0.000284
54,204.283,0.66357,0.73161,1.04964,1,0.9626,0.99389,0.88115,0.633,0.73008,1.06981,0.000251,0.000251,0.000251
55,207.293,0.59551,0.65182,1.02783,0.99031,0.97059,0.99338,0.87002,0.6334,0.69168,1.06878,0.000218,0.000218,0.000218
56,210.475,0.62764,0.66053,1.048,1,0.936,0.99201,0.85238,0.6292,0.74035,1.08201,0.000185,0.000185,0.000185
57,214.757,0.54646,0.59362,0.98385,0.94216,0.97059,0.99027,0.84882,0.6432,0.79402,1.09833,0.000152,0.000152,0.000152
58,218.052,0.51598,0.5943,0.95558,0.96362,0.97059,0.99161,0.83906,0.64447,0.80027,1.10837,0.000119,0.000119,0.000119
59,221.187,0.5586,0.60059,1.00436,0.99857,0.97059,0.99389,0.84,0.63701,0.78229,1.10534,8.6e-05,8.6e-05,8.6e-05
60,224.542,0.55051,0.59777,1.02787,0.99206,0.97059,0.99389,0.84093,0.62707,0.77347,1.09392,5.3e-05,5.3e-05,5.3e-05
